country,demographic,coefficient,intercept,test_size,r_squared,latitude,longitude
Barbados,Male 5-17,0.0,0.0,0.01,1.0,13.1500331,-59.5250305
Barbados,Male 18-59,0.023255813953488386,-45.67441860465119,0.01,0.0,13.1500331,-59.5250305
Barbados,Male 60+,-0.1194029850746269,240.82089552238813,0.01,0.0,13.1500331,-59.5250305
Belarus,Female 0-4,-0.7763157894736843,1575.526315789474,0.06799999999999999,0.9037780855647308,53.4250605,27.6971358
Belarus,Female 5-17,-6.281424148606809,12713.31486068111,0.097,0.99708303713708,53.4250605,27.6971358
Belarus,Female 18-59,-5.9425,12107.45375,0.06509999999999999,0.8838444271371266,53.4250605,27.6971358
Belarus,Female 60+,-0.5377263581488931,1100.481556002682,0.1173,0.8613173288557309,53.4250605,27.6971358
Belarus,Male 0-4,-0.3033662568030641,629.2011691191296,0.1956,0.17512970379670068,53.4250605,27.6971358
Belarus,Male 5-17,-6.4881324172392265,13121.713616489695,0.126,0.984488219577696,53.4250605,27.6971358
Belarus,Male 18-59,-10.329052701801203,21088.70647098066,0.1521,0.7728322531573499,53.4250605,27.6971358
Belarus,Male 60+,-0.4695402298850575,954.0959770114945,0.1086,0.9358111623067712,53.4250605,27.6971358
Belgium,Female 0-4,0.0,0.0,0.01,1.0,50.6402809,4.6667145
Belgium,Female 5-17,-0.0,0.0,0.01,1.0,50.6402809,4.6667145
Belgium,Female 18-59,-0.0,0.0,0.01,1.0,50.6402809,4.6667145
Belgium,Female 60+,0.0,0.0,0.01,1.0,50.6402809,4.6667145
Belgium,Male 0-4,0.0,0.0,0.01,1.0,50.6402809,4.6667145
Belgium,Male 5-17,-0.0,0.0,0.01,1.0,50.6402809,4.6667145
Belgium,Male 18-59,0.0,0.0,0.01,1.0,50.6402809,4.6667145
Belgium,Male 60+,0.0,0.0,0.01,1.0,50.6402809,4.6667145
Belize,Female 0-4,-1.6709677419354831,3368.4408602150525,0.1086,0.95947287926751,16.8259793,-88.7600927
Belize,Female 5-17,-4.627906976744186,9344.941860465118,0.2884,0.4147805628014535,16.8259793,-88.7600927
Belize,Female 18-59,-1.8044549576187647,3671.4776266508948,0.126,0.3678011937402907,16.8259793,-88.7600927
Belize,Female 60+,-1.0782122905027938,2174.5284916201126,0.0622,0.8075995377835814,16.8259793,-88.7600927
Belize,Male 0-4,-1.4683480453972255,2961.815384615385,0.1231,0.9743186989041572,16.8259793,-88.7600927
Belize,Male 5-17,-6.267848586487782,12639.00479156684,0.1956,0.4013341839075633,16.8259793,-88.7600927
Belize,Male 18-59,-1.317845584835875,2713.761673601477,0.1898,0.2810976337277757,16.8259793,-88.7600927
Belize,Male 60+,-1.1416068222621183,2305.7746858168757,0.2275,0.9280562729976024,16.8259793,-88.7600927
Benin,Female 0-4,-21.972389558232933,44436.53614457832,0.1463,0.6863380535783454,9.5293472,2.2584408
Benin,Female 5-17,-39.31083591331269,79573.75820433437,0.1057,0.6838181704725559,9.5293472,2.2584408
Benin,Female 18-59,-83.01176643624059,168017.63950580964,0.08539999999999999,0.7157756085170401,9.5293472,2.2584408
Benin,Female 60+,-2.251012829169479,4560.134706279539,0.1144,0.8643299530873404,9.5293472,2.2584408
Benin,Male 0-4,-20.617391304347837,41733.01739130436,0.0593,0.6225507163349215,9.5293472,2.2584408
Benin,Male 5-17,-42.022600619195046,85058.96996904025,0.0941,0.6666087199735935,9.5293472,2.2584408
Benin,Male 18-59,-156.8579327292274,317177.7654738134,0.08539999999999999,0.915137157201408,9.5293472,2.2584408
Benin,Male 60+,-0.5628318584070799,1153.5495575221246,0.0564,0.291259268777878,9.5293472,2.2584408
Bolivia (Plurinational State of),Female 0-4,-0.22475307397702068,456.2664785325537,0.1434,0.5841338358026023,-17.0568696,-64.9912286
Bolivia (Plurinational State of),Female 5-17,0.9092465753424656,-1786.9794520547946,0.0999,0.3937303469876389,-17.0568696,-64.9912286
Bolivia (Plurinational State of),Female 18-59,4.229187265176981,-8354.227407553886,0.1434,0.5085172536690474,-17.0568696,-64.9912286
Bolivia (Plurinational State of),Female 60+,0.11713286713286712,-230.4923076923077,0.1144,0.8234845224705443,-17.0568696,-64.9912286
Bolivia (Plurinational State of),Male 0-4,-0.13634800550206322,280.8746561210453,0.0622,0.2451715894492041,-17.0568696,-64.9912286
Bolivia (Plurinational State of),Male 5-17,0.20190995907230527,-359.42428376534724,0.1144,0.11130467124807196,-17.0568696,-64.9912286
Bolivia (Plurinational State of),Male 18-59,6.542240754169692,-12923.814720812188,0.1057,0.3940992851079488,-17.0568696,-64.9912286
Bolivia (Plurinational State of),Male 60+,0.0324459234608985,-58.554908485856885,0.1521,0.07244574616775568,-17.0568696,-64.9912286
Bosnia and Herzegovina,Female 0-4,-52.60093739537997,106118.51757616336,0.1724,0.6571048319938328,44.3053476,17.5961467
Bosnia and Herzegovina,Female 5-17,-357.63244469654,721560.4288145208,0.1028,0.5344810753217486,44.3053476,17.5961467
Bosnia and Herzegovina,Female 18-59,-1260.474929044465,2545203.226111636,0.1782,0.4670626228388778,44.3053476,17.5961467
Bosnia and Herzegovina,Female 60+,-458.16375198728167,924526.9475357713,0.1521,0.3917168440531844,44.3053476,17.5961467
Bosnia and Herzegovina,Male 0-4,-54.26445225167677,109473.57106355793,0.1608,0.5789186258180563,44.3053476,17.5961467
Bosnia and Herzegovina,Male 5-17,-358.31739130434767,723055.560869565,0.08539999999999999,0.4234303538733468,44.3053476,17.5961467
Bosnia and Herzegovina,Male 18-59,-1151.6312594840667,2326489.0804248857,0.2478,0.44923630637527945,44.3053476,17.5961467
Bosnia and Herzegovina,Male 60+,-346.53722084367246,699608.5763027295,0.1434,0.3794425174234355,44.3053476,17.5961467
Botswana,Female 0-4,-8.326831588962897,16947.803361877584,0.1028,0.7524918424885636,-23.1681782,24.5928742
Botswana,Female 5-17,-0.1844660194174758,772.9493758668518,0.1405,0.015468331509454702,-23.1681782,24.5928742
Botswana,Female 18-59,-1.2746478873239429,3099.998374864571,0.1782,0.13691880691764868,-23.1681782,24.5928742
Botswana,Female 60+,-1.3831888732110458,2808.582140697439,0.16949999999999998,0.9218378660953244,-23.1681782,24.5928742
Botswana,Male 0-4,-5.952208018593839,12182.239831493313,0.06799999999999999,0.7059395662155095,-23.1681782,24.5928742
Botswana,Male 5-17,-1.8259259259259255,4082.4188034188032,0.2304,0.2284193182461421,-23.1681782,24.5928742
Botswana,Male 18-59,-9.583073079325429,20589.08806995629,0.0912,0.8936136821749996,-23.1681782,24.5928742
Botswana,Male 60+,-0.3736100815418827,797.1971830985913,0.2217,0.32751712962021784,-23.1681782,24.5928742
Brazil,Female 0-4,2.741071428571428,-5481.406249999999,0.184,0.2802451420385367,-10.3333333,-53.2
Brazil,Female 5-17,48.91095890410957,-98034.95205479453,0.1144,0.8577411184104913,-10.3333333,-53.2
Brazil,Female 18-59,461.92307692307685,-926077.9450549452,0.2043,0.7976735119119495,-10.3333333,-53.2
Brazil,Female 60+,4.932330827067666,-9874.631578947365,0.1985,0.9809105393528396,-10.3333333,-53.2
Brazil,Male 0-4,6.913934426229505,-13852.762295081962,0.2536,0.6375260853495401,-10.3333333,-53.2
Brazil,Male 5-17,52.45918367346938,-105096.50255102037,0.1057,0.9101489240119292,-10.3333333,-53.2
Brazil,Male 18-59,1597.9999999999993,-3203027.5714285704,0.2507,0.6696788895768329,-10.3333333,-53.2
Brazil,Male 60+,4.133333333333333,-8237.9,0.1376,0.5998260631001491,-10.3333333,-53.2
British Virgin Islands,Female 0-4,0.0,0.0,0.01,1.0,18.4024395,-64.5661642
British Virgin Islands,Female 5-17,-0.0,0.0,0.01,1.0,18.4024395,-64.5661642
British Virgin Islands,Female 18-59,0.0,0.0,0.01,1.0,18.4024395,-64.5661642
British Virgin Islands,Female 60+,-0.0,0.0,0.01,1.0,18.4024395,-64.5661642
British Virgin Islands,Male 0-4,0.0,0.0,0.01,1.0,18.4024395,-64.5661642
British Virgin Islands,Male 5-17,0.0,0.0,0.01,1.0,18.4024395,-64.5661642
British Virgin Islands,Male 18-59,-0.4226804123711341,852.9484536082475,0.15789999999999998,0.8170073570222491,18.4024395,-64.5661642
British Virgin Islands,Male 60+,-0.0,0.0,0.01,1.0,18.4024395,-64.5661642
Brunei Darussalam,Female 0-4,-0.0,0.0,0.01,1.0,4.4137155,114.5653908
Brunei Darussalam,Female 5-17,-0.0,0.0,0.01,1.0,4.4137155,114.5653908
Brunei Darussalam,Female 18-59,-0.0,0.0,0.01,1.0,4.4137155,114.5653908
Brunei Darussalam,Female 60+,-0.0,0.0,0.01,1.0,4.4137155,114.5653908
Brunei Darussalam,Male 0-4,-0.0,0.0,0.01,1.0,4.4137155,114.5653908
Brunei Darussalam,Male 5-17,-0.0,0.0,0.01,1.0,4.4137155,114.5653908
Brunei Darussalam,Male 18-59,-0.0,0.0,0.01,1.0,4.4137155,114.5653908
Brunei Darussalam,Male 60+,-0.0,0.0,0.01,1.0,4.4137155,114.5653908
Bulgaria,Female 0-4,4.139860139860141,-8300.522144522147,0.01,0.0,42.6073975,25.4856617
Bulgaria,Female 5-17,3.3279352226720644,-6652.587044534412,0.01,0.0,42.6073975,25.4856617
Bulgaria,Female 18-59,2.7906077348066307,-5506.4723756906105,0.08249999999999999,0.8803062845105807,42.6073975,25.4856617
Bulgaria,Female 60+,0.05604483586869504,-108.76781425140128,0.1782,0.012525632996389644,42.6073975,25.4856617
Bulgaria,Male 0-4,1.4693094629156016,-2933.2135549872137,0.1434,0.06747768385297037,42.6073975,25.4856617
Bulgaria,Male 5-17,0.7789133942980094,-1464.7369553523395,0.01,0.0,42.6073975,25.4856617
Bulgaria,Male 18-59,-28.5953716690042,57897.68863955117,0.08249999999999999,0.9148813629308834,42.6073975,25.4856617
Bulgaria,Male 60+,0.16837009144701456,-335.10543302851,0.01,0.0,42.6073975,25.4856617
Burkina Faso,Female 0-4,293.30640929535235,-588275.9235382308,0.1028,0.9203738822101394,12.0753083,-1.6880314
Burkina Faso,Female 5-17,695.1962209302324,-1394285.4171511624,0.1086,0.9719178096865828,12.0753083,-1.6880314
Burkina Faso,Female 18-59,752.1830959520239,-1508326.9317841078,0.07379999999999999,0.9745891390406096,12.0753083,-1.6880314
Burkina Faso,Female 60+,60.337765957446834,-121003.84290780145,0.1144,0.9704917458372062,12.0753083,-1.6880314
Burkina Faso,Male 0-4,287.6159470752089,-576761.145891365,0.0941,0.9306509189137336,12.0753083,-1.6880314
Burkina Faso,Male 5-17,725.7229783827063,-1455418.4799839875,0.1347,0.9940869452040508,12.0753083,-1.6880314
Burkina Faso,Male 18-59,584.2816526897118,-1171369.2939251384,0.155,0.9825320480668898,12.0753083,-1.6880314
Burkina Faso,Male 60+,69.37988826815639,-139139.97541899438,0.1057,0.9652397640740304,12.0753083,-1.6880314
Burundi,Female 0-4,380.2806619078519,-758725.2579493831,0.1666,0.5632661593964479,-3.3634357,29.8870575
Burundi,Female 5-17,1123.477761025254,-2245536.0767056155,0.1463,0.6450956444156577,-3.3634357,29.8870575
Burundi,Female 18-59,1265.3740298507464,-2528329.050149254,0.2652,0.7582411693388309,-3.3634357,29.8870575
Burundi,Female 60+,589.2914237123417,-1181421.8598153542,0.01,0.0,-3.3634357,29.8870575
Burundi,Male 0-4,393.2281434538385,-784897.4685294544,0.0941,0.6677647028960725,-3.3634357,29.8870575
Burundi,Male 5-17,1217.1939359267733,-2434048.2669717767,0.1608,0.7786976882633612,-3.3634357,29.8870575
Burundi,Male 18-59,1506.285190409027,-3014480.977433005,0.16949999999999998,0.7783670006057545,-3.3634357,29.8870575
Burundi,Male 60+,125.96796338672772,-252078.1525553013,0.1202,0.8492865965696628,-3.3634357,29.8870575
Cabo Verde,Female 0-4,-0.0,0.0,0.01,1.0,16.0000552,-24.0083947
Cabo Verde,Female 5-17,-0.0,0.0,0.01,1.0,16.0000552,-24.0083947
Cabo Verde,Female 18-59,0.0,0.0,0.01,1.0,16.0000552,-24.0083947
Cabo Verde,Female 60+,-0.0,0.0,0.01,1.0,16.0000552,-24.0083947
Cabo Verde,Male 0-4,0.0,0.0,0.01,1.0,16.0000552,-24.0083947
Cabo Verde,Male 5-17,-0.0,0.0,0.01,1.0,16.0000552,-24.0083947
Cabo Verde,Male 18-59,-0.0,0.0,0.01,1.0,16.0000552,-24.0083947
Cabo Verde,Male 60+,0.0,0.0,0.01,1.0,16.0000552,-24.0083947
Cambodia,Female 0-4,-0.9668266221573129,1949.561861047361,0.126,0.7036171145394605,13.5066394,104.869423
Cambodia,Female 5-17,-1.213,2457.0460000000003,0.07379999999999999,0.8366512520775514,13.5066394,104.869423
Cambodia,Female 18-59,-3.2170888333927943,6505.0358544416695,0.07959999999999999,0.7110049838694072,13.5066394,104.869423
Cambodia,Female 60+,0.18571964017991,-371.0640929535232,0.08249999999999999,0.7201855231023939,13.5066394,104.869423
Cambodia,Male 0-4,-1.1756833176248824,2370.531762488219,0.1753,0.8283931135475141,13.5066394,104.869423
